iter	Passed	Remaining
0	1	151
1	3	151
2	4	151
3	6	149
4	7	149
5	9	146
6	11	147
7	12	146
8	14	145
9	15	142
10	17	140
11	18	138
12	20	137
13	21	134
14	27	155
15	32	172
16	35	174
17	37	171
18	39	166
19	40	162
20	42	159
21	44	156
22	45	152
23	47	149
24	48	146
25	50	143
26	52	141
27	54	139
28	56	139
29	58	136
30	59	133
31	61	130
32	62	127
33	64	125
34	65	122
35	67	120
36	69	118
37	71	115
38	72	113
39	74	111
40	75	109
41	77	107
42	78	104
43	79	100
44	80	97
45	80	95
46	81	92
47	82	89
48	83	87
49	84	84
50	85	82
51	86	79
52	87	77
53	88	75
54	89	72
55	89	70
56	90	68
57	91	66
58	92	64
59	93	62
60	94	60
61	95	58
62	96	56
63	97	54
64	97	52
65	98	50
66	99	49
67	100	47
68	101	45
69	102	43
70	103	42
71	104	40
72	104	38
73	105	37
74	106	35
75	107	33
76	108	32
77	109	30
78	109	29
79	110	27
80	111	26
81	112	24
82	113	23
83	114	21
84	115	20
85	116	18
86	117	17
87	117	16
88	118	14
89	119	13
90	120	11
91	121	10
92	122	9
93	123	7
94	124	6
95	125	5
96	125	3
97	126	2
98	127	1
99	128	0
