iter	RMSE
0	13.44008078
1	13.04724876
2	12.63334863
3	12.26082881
4	11.88004275
5	11.50108821
6	11.12885916
7	10.76832341
8	10.42191473
9	10.08640676
10	9.768742075
11	9.445962426
12	9.149716106
13	8.856460838
14	8.587475778
15	8.30772201
16	8.07260144
17	7.843301656
18	7.588754287
19	7.360381025
20	7.134462052
21	6.920271285
22	6.720481847
23	6.51570428
24	6.326646195
25	6.125615454
26	5.947179738
27	5.764219697
28	5.605254709
29	5.431436155
30	5.266857147
31	5.105048906
32	4.961037621
33	4.807892472
34	4.663261494
35	4.537101718
36	4.398927289
37	4.269477992
38	4.148056399
39	4.034777033
40	3.917858506
41	3.80545937
42	3.696469228
43	3.594308214
44	3.497974457
45	3.390079299
46	3.285861896
47	3.190533473
48	3.101396084
49	3.015542517
50	2.930148695
51	2.846571103
52	2.760048024
53	2.68747268
54	2.613038348
55	2.54628665
56	2.480285123
57	2.414788258
58	2.344008449
59	2.278135879
60	2.217377726
61	2.156596107
62	2.101480399
63	2.047258275
64	1.994568048
65	1.942742551
66	1.896302908
67	1.845799049
68	1.796964812
69	1.751074853
70	1.705340494
71	1.663528363
72	1.62116251
73	1.578484015
74	1.541998506
75	1.50245505
76	1.464442292
77	1.430776612
78	1.398615656
79	1.369032933
80	1.338427313
81	1.310240512
82	1.280727662
83	1.251954682
84	1.226356009
85	1.198055607
86	1.172962682
87	1.149688296
88	1.126021913
89	1.102549945
90	1.082134116
91	1.062754234
92	1.042719737
93	1.024990247
94	1.007069873
95	0.9875424073
96	0.9701202605
97	0.9534965051
98	0.9368036046
99	0.9201180881
100	0.9039646299
101	0.8891083452
102	0.8736479747
103	0.8605142341
104	0.8475536857
105	0.8345977513
106	0.8233081003
107	0.8113507283
108	0.8003553804
109	0.7903120056
110	0.7786706247
111	0.7699794109
112	0.7633990642
113	0.7530661769
114	0.7433890207
115	0.7331530497
116	0.7235894983
117	0.7203129336
118	0.7146014408
119	0.7119047808
120	0.7029717296
121	0.699750017
122	0.6965695917
123	0.688524373
124	0.6847349469
125	0.681864992
126	0.6766848109
127	0.6695567594
128	0.6622013688
129	0.6593525766
130	0.6511126992
131	0.6429173547
132	0.6372880566
133	0.6342580998
134	0.6310240948
135	0.6288289868
136	0.6256687279
137	0.622608366
138	0.6172089408
139	0.6137816401
140	0.606307487
141	0.6021467113
142	0.5998176192
143	0.5977819483
144	0.5958040524
145	0.5925451514
146	0.5900748935
147	0.5880403948
148	0.5862677491
149	0.5838753636
150	0.5775340162
151	0.5758353188
152	0.573850832
153	0.5684675855
154	0.566342073
155	0.564535373
156	0.5592128956
157	0.5562967332
158	0.5528790253
159	0.5514038258
160	0.546630168
161	0.54501159
162	0.5434058988
163	0.5416417547
164	0.5400894134
165	0.5347789789
166	0.5330594848
167	0.5279711805
168	0.5228212561
169	0.519913263
170	0.5163166216
171	0.5114961001
172	0.5096147056
173	0.5049405869
174	0.5031049577
175	0.4992824878
176	0.4980372
177	0.4968922352
178	0.4952514543
179	0.4909543458
180	0.4896833165
181	0.4884557851
182	0.4867725138
183	0.4853019695
184	0.4841878052
185	0.4826790238
186	0.4815782842
187	0.4778111398
188	0.476531444
189	0.4736880623
190	0.4725064539
191	0.4715887391
192	0.4705318006
193	0.4696454017
194	0.4669477213
195	0.4655654761
196	0.4646020171
197	0.4635731083
198	0.4622931849
199	0.4588427997
200	0.458031388
201	0.4548489656
202	0.4537249845
203	0.4526855419
204	0.4491046012
205	0.4483379424
206	0.4475666664
207	0.4467337514
208	0.4459496144
209	0.4451433668
210	0.4443455267
211	0.4416205417
212	0.4406147847
213	0.4373002694
214	0.4365524361
215	0.4358252554
216	0.4325125564
217	0.4317181893
218	0.4291377957
219	0.426437552
220	0.4257895552
221	0.4234618754
222	0.4227232008
223	0.4198616208
224	0.4192847019
225	0.4186474983
226	0.4176114109
227	0.4166950733
228	0.4158197686
229	0.4149935273
230	0.4144857168
231	0.4121698815
232	0.4095588743
233	0.407498376
234	0.406666881
235	0.405825759
236	0.4037109489
237	0.4028734975
238	0.4024276471
239	0.4016561025
240	0.3995499229
241	0.3989595168
242	0.3984570754
243	0.3974913945
244	0.3970854633
245	0.3963113867
246	0.3938698138
247	0.392213225
248	0.3903920845
249	0.3898910576
250	0.3894244626
251	0.3889369442
252	0.3875066422
253	0.3868594827
254	0.3863766286
255	0.3842793326
256	0.3838624208
257	0.3834470034
258	0.3828992204
259	0.3815556603
260	0.381037397
261	0.3807376749
262	0.3801134875
263	0.379695724
264	0.3778464025
265	0.3759734736
266	0.3756966537
267	0.3743443935
268	0.3739564286
269	0.3711679629
270	0.3709085833
271	0.3706066404
272	0.3697983726
273	0.3695528622
274	0.3680401304
275	0.3661747871
276	0.3636715273
277	0.362248983
278	0.362020778
279	0.3608326217
280	0.3605683672
281	0.3587628926
282	0.3584524701
283	0.3566529663
284	0.3563983993
285	0.3549845036
286	0.3538386359
287	0.3535890889
288	0.352640107
289	0.352215726
290	0.3520292648
291	0.3517586681
292	0.3515790895
293	0.3495733876
294	0.3493111561
295	0.349140803
296	0.3489596533
297	0.3487099284
298	0.3464961253
299	0.3454742861
300	0.3452364085
301	0.3442063759
302	0.3424503926
303	0.3411375577
304	0.3404591094
305	0.3392660597
306	0.3391224643
307	0.3379688333
308	0.337261262
309	0.3365975511
310	0.3364234886
311	0.3362586387
312	0.3360826501
313	0.3353248954
314	0.3351546136
315	0.3334564684
316	0.332682725
317	0.3314715664
318	0.3312856135
319	0.3305462542
320	0.3298167526
321	0.3290340536
322	0.3288897561
323	0.3281099966
324	0.3273842682
325	0.3266905319
326	0.3265563153
327	0.3264000924
328	0.3256065871
329	0.3250363873
330	0.3248599276
331	0.324766688
332	0.3232283088
333	0.3230590199
334	0.3217934481
335	0.3211377222
336	0.3205334253
337	0.3204131801
338	0.3198715461
339	0.3197902038
340	0.3196756237
341	0.3191701727
342	0.3177823102
343	0.3171929072
344	0.3170851904
345	0.3160793128
346	0.3150371903
347	0.3137972256
348	0.3136434291
349	0.3123856305
350	0.3122537304
351	0.3121547079
352	0.3112811526
353	0.311126151
354	0.3105282488
355	0.3098454744
356	0.3090731635
357	0.3089391763
358	0.3088512036
359	0.307940894
360	0.3078554018
361	0.3069326295
362	0.3060529203
363	0.3052705522
364	0.3046356379
365	0.3037821071
366	0.3027043663
367	0.3026267059
368	0.3021045051
369	0.3015267977
370	0.3006678336
371	0.3002627021
372	0.2994946066
373	0.298723719
374	0.2979866956
375	0.2974054899
376	0.2970214367
377	0.2960723644
378	0.2953644402
379	0.294257342
380	0.2938873341
381	0.2933534382
382	0.2929525411
383	0.2926996053
384	0.2916409591
385	0.2910902712
386	0.2902709921
387	0.2898666254
388	0.2896085101
389	0.2894077303
390	0.2887551115
391	0.288184681
392	0.2879217328
393	0.2876548826
394	0.2870376227
395	0.2864396183
396	0.2861138168
397	0.2852152829
398	0.2847945644
399	0.2839480671
400	0.2829914866
401	0.2828518293
402	0.2819270773
