iter	Passed	Remaining
0	144	144775
1	150	75008
2	153	51163
3	157	39235
4	160	31964
5	165	27340
6	167	23805
7	170	21131
8	172	19045
9	175	17348
10	178	16084
11	181	14940
12	183	13916
13	185	13041
14	187	12279
15	188	11594
16	190	10995
17	192	10510
18	194	10026
19	195	9589
20	197	9185
21	198	8817
22	199	8478
23	200	8166
24	202	7878
25	203	7615
26	204	7369
27	206	7169
28	207	6955
29	209	6757
30	210	6573
31	211	6396
32	212	6231
33	213	6076
34	215	5930
35	216	5792
36	217	5660
37	218	5536
38	220	5439
39	222	5328
40	223	5222
41	224	5122
42	225	5025
43	226	4930
44	228	4841
45	229	4756
46	230	4675
47	231	4596
48	232	4520
49	235	4467
50	236	4399
51	237	4334
52	238	4269
53	240	4208
54	241	4148
55	242	4089
56	243	4033
57	244	3978
58	246	3925
59	247	3874
60	248	3824
61	250	3789
62	251	3743
63	252	3697
64	254	3653
65	255	3610
66	256	3569
67	257	3528
68	258	3489
69	259	3451
70	260	3414
71	262	3378
72	263	3343
73	265	3321
74	266	3288
75	267	3256
76	269	3225
77	270	3194
78	271	3164
79	272	3134
80	273	3105
81	274	3077
82	275	3049
83	277	3021
84	278	2995
85	280	2980
86	281	2955
87	282	2930
88	284	2907
89	285	2883
90	286	2860
91	287	2837
92	288	2815
93	289	2793
94	291	2772
95	292	2751
96	293	2730
97	296	2725
98	297	2708
99	299	2691
100	300	2675
101	301	2657
102	303	2639
103	304	2621
104	305	2603
105	306	2585
106	307	2568
107	308	2551
108	310	2542
109	312	2526
110	313	2510
111	314	2494
112	315	2478
113	316	2463
114	318	2448
115	319	2433
116	320	2418
117	321	2403
118	322	2389
119	323	2370
120	324	2356
121	326	2349
122	327	2334
123	328	2321
124	329	2308
125	331	2296
126	332	2283
127	333	2271
128	334	2258
129	335	2246
130	336	2234
131	337	2222
132	339	2210
133	340	2199
134	341	2190
135	342	2175
136	343	2165
137	345	2155
138	346	2145
139	347	2134
140	348	2124
141	349	2113
142	350	2103
143	351	2089
144	352	2076
145	353	2066
146	354	2056
147	356	2052
148	357	2039
149	357	2027
150	358	2017
151	359	2005
152	360	1996
153	361	1987
154	363	1978
155	364	1970
156	365	1961
157	366	1952
158	367	1945
159	368	1934
160	369	1925
161	371	1921
162	372	1913
163	373	1905
164	374	1894
165	375	1886
166	376	1876
167	377	1868
168	378	1860
169	379	1853
170	380	1845
171	381	1838
172	383	1830
173	384	1823
174	386	1821
175	388	1817
176	389	1809
177	389	1799
